epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,5247.15,1.10296,0.76215,1.23893,0.87307,0.76256,0.84743,0.56061,1.34093,0.83372,1.42446,0.002575,0.002575,0.002575
77,5315.09,1.09207,0.74813,1.23401,0.87271,0.76933,0.8488,0.56252,1.33258,0.8292,1.41135,0.002476,0.002476,0.002476
78,5383.34,1.0877,0.74052,1.2265,0.86783,0.77771,0.84886,0.56411,1.3289,0.82333,1.4148,0.002377,0.002377,0.002377
79,5451.39,1.08697,0.74564,1.22824,0.86527,0.77738,0.84561,0.56332,1.32506,0.82428,1.41431,0.002278,0.002278,0.002278
80,5519.72,1.07843,0.73045,1.22169,0.86143,0.76643,0.84178,0.56226,1.32714,0.83292,1.41542,0.002179,0.002179,0.002179
81,5588.03,1.06937,0.72637,1.21298,0.8657,0.76772,0.84261,0.56601,1.32119,0.82747,1.412,0.00208,0.00208,0.00208
82,5656.35,1.06289,0.72673,1.21192,0.87071,0.77019,0.8431,0.56712,1.31827,0.82063,1.41258,0.001981,0.001981,0.001981
83,5724.5,1.06558,0.71228,1.21182,0.87633,0.76965,0.84478,0.57057,1.31703,0.82023,1.41335,0.001882,0.001882,0.001882
84,5792.14,1.04445,0.71077,1.21003,0.88555,0.76528,0.84571,0.57229,1.31597,0.81293,1.41135,0.001783,0.001783,0.001783
85,5860.31,1.05609,0.71087,1.21245,0.88137,0.76965,0.84624,0.57246,1.31493,0.81809,1.41156,0.001684,0.001684,0.001684
86,5928.16,1.04594,0.70495,1.20058,0.87871,0.7732,0.84677,0.57361,1.30932,0.81823,1.40826,0.001585,0.001585,0.001585
87,5996.78,1.03579,0.69216,1.20002,0.8737,0.78002,0.84753,0.57538,1.3074,0.8166,1.40722,0.001486,0.001486,0.001486
88,6065.29,1.03634,0.69476,1.19474,0.87932,0.77577,0.84709,0.57611,1.30675,0.81327,1.40534,0.001387,0.001387,0.001387
89,6133.76,1.02482,0.68747,1.18492,0.88074,0.77562,0.84676,0.57782,1.30325,0.8137,1.40305,0.001288,0.001288,0.001288
90,6202.36,1.01426,0.6824,1.18386,0.86871,0.78061,0.84864,0.57867,1.30103,0.81252,1.40574,0.001189,0.001189,0.001189
91,6272.18,0.97443,0.5803,1.14927,0.87342,0.77802,0.84773,0.58022,1.29667,0.8093,1.40217,0.00109,0.00109,0.00109
92,6340.06,0.95575,0.55685,1.13622,0.87825,0.77617,0.84711,0.57968,1.29752,0.81157,1.40305,0.000991,0.000991,0.000991
93,6407.45,0.93606,0.5465,1.1289,0.87838,0.77718,0.8472,0.58181,1.29509,0.80928,1.4044,0.000892,0.000892,0.000892
94,6475.34,0.92729,0.53446,1.11685,0.87634,0.77394,0.84587,0.5821,1.29333,0.80944,1.40264,0.000793,0.000793,0.000793
95,6542.9,0.91486,0.52965,1.11314,0.87748,0.77867,0.84688,0.5829,1.29317,0.80647,1.40475,0.000694,0.000694,0.000694
96,6610.71,0.90732,0.52538,1.11114,0.87771,0.78061,0.84701,0.58425,1.2887,0.8078,1.40317,0.000595,0.000595,0.000595
97,6678.71,0.89856,0.51857,1.10274,0.88152,0.77642,0.84714,0.58468,1.28702,0.81266,1.4042,0.000496,0.000496,0.000496
98,6746.24,0.8857,0.50962,1.09374,0.88444,0.77352,0.84631,0.58502,1.28619,0.81308,1.40633,0.000397,0.000397,0.000397
99,6814.03,0.88629,0.50957,1.09449,0.88648,0.77384,0.84742,0.58601,1.28709,0.81345,1.40955,0.000298,0.000298,0.000298
100,6881.48,0.87752,0.50537,1.0917,0.88824,0.77074,0.84708,0.58699,1.28576,0.81314,1.40979,0.000199,0.000199,0.000199
