lat,lon,heading,filename,status,source
22.4,88.306,270,,ZERO_RESULTS,metadata
22.4,88.308,0,,ZERO_RESULTS,metadata
22.4,88.308,90,,ZERO_RESULTS,metadata
22.4,88.308,180,,ZERO_RESULTS,metadata
22.4,88.308,270,,ZERO_RESULTS,metadata
22.4,88.31,0,,ZERO_RESULTS,metadata
22.4,88.31,90,,ZERO_RESULTS,metadata
22.4,88.31,180,,ZERO_RESULTS,metadata
22.4,88.31,270,,ZERO_RESULTS,metadata
22.4,88.312,0,,ZERO_RESULTS,metadata
22.4,88.312,90,,ZERO_RESULTS,metadata
22.4,88.312,180,,ZERO_RESULTS,metadata
22.4,88.312,270,,ZERO_RESULTS,metadata
22.4,88.314,0,,ZERO_RESULTS,metadata
22.4,88.314,90,,ZERO_RESULTS,metadata
22.4,88.314,180,,ZERO_RESULTS,metadata
22.4,88.314,270,,ZERO_RESULTS,metadata
22.4,88.316,0,,ZERO_RESULTS,metadata
22.4,88.316,90,,ZERO_RESULTS,metadata
22.4,88.316,180,,ZERO_RESULTS,metadata
22.4,88.316,270,,ZERO_RESULTS,metadata
22.4,88.318,0,,ZERO_RESULTS,metadata
22.4,88.318,90,,ZERO_RESULTS,metadata
22.4,88.318,180,,ZERO_RESULTS,metadata
22.4,88.318,270,,ZERO_RESULTS,metadata
22.4,88.32,0,,ZERO_RESULTS,metadata
22.4,88.32,90,,ZERO_RESULTS,metadata
22.4,88.32,180,,ZERO_RESULTS,metadata
22.4,88.32,270,,ZERO_RESULTS,metadata
22.4,88.322,0,,ZERO_RESULTS,metadata
22.4,88.322,90,,ZERO_RESULTS,metadata
22.4,88.322,180,,ZERO_RESULTS,metadata
22.4,88.322,270,,ZERO_RESULTS,metadata
22.4,88.324,0,,ZERO_RESULTS,metadata
22.4,88.324,90,,ZERO_RESULTS,metadata
22.4,88.324,180,,ZERO_RESULTS,metadata
22.4,88.324,270,,ZERO_RESULTS,metadata
22.4,88.326,0,,ZERO_RESULTS,metadata
22.4,88.326,90,,ZERO_RESULTS,metadata
22.4,88.326,180,,ZERO_RESULTS,metadata
22.4,88.326,270,,ZERO_RESULTS,metadata
22.4,88.328,0,,ZERO_RESULTS,metadata
22.4,88.328,90,,ZERO_RESULTS,metadata
22.4,88.328,180,,ZERO_RESULTS,metadata
22.4,88.328,270,,ZERO_RESULTS,metadata
22.4,88.33,0,,ZERO_RESULTS,metadata
22.4,88.33,90,,ZERO_RESULTS,metadata
22.4,88.33,180,,ZERO_RESULTS,metadata
22.4,88.33,270,,ZERO_RESULTS,metadata
22.4,88.332,0,,ZERO_RESULTS,metadata
22.4,88.332,90,,ZERO_RESULTS,metadata
22.4,88.332,180,,ZERO_RESULTS,metadata
